row_number,transction_year,transction_month,listing_province_name_en,listing_province_name_th,listing_district_name_th,listing_district_name_en,project_propertytype_name_th,project_propertytype_name_en,total_listing,median_asking_price_sqm,day
1584,2019,4,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,คอนโด,Condo,24,55887,2022-09-05
211,2022,2,BANGKOK,กรุงเทพมหานคร,ธนบุรี,THON BURI,คอนโด,Condo,109,90885,2022-09-05
1555,2021,11,BANGKOK,กรุงเทพมหานคร,มีนบุรี,MIN BURI,คอนโด,Condo,41,93704,2022-09-05
93,2022,1,BANGKOK,กรุงเทพมหานคร,บางพลัด,BANG PHLAT,คอนโด,Condo,227,81335,2022-09-05
201,2019,11,PATHUM THANI,ปทุมธานี,คลองหลวง,KHLONG LUANG,คอนโด,Condo,55,62524,2022-09-05
1695,2019,1,BANGKOK,กรุงเทพมหานคร,พญาไท,PHAYA THAI,คอนโด,Condo,43,126337,2022-09-05
1769,2021,1,BANGKOK,กรุงเทพมหานคร,วังทองหลาง,WANG THONGLANG,ทาวน์โฮม,Townhome,13,41072,2022-09-05
364,2020,6,BANGKOK,กรุงเทพมหานคร,บางซื่อ,BANG SUE,คอนโด,Condo,40,83686,2022-09-05
2101,2021,4,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,บ้าน,Detached House,12,31169,2022-09-05
985,2021,2,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,คอนโด,Condo,378,66693,2022-09-05
965,2021,9,BANGKOK,กรุงเทพมหานคร,พญาไท,PHAYA THAI,คอนโด,Condo,732,135679,2022-09-05
689,2020,10,BANGKOK,กรุงเทพมหานคร,บางกอกใหญ่,BANGKOK YAI,คอนโด,Condo,27,68796,2022-09-05
1448,2020,10,BANGKOK,กรุงเทพมหานคร,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,36,73826,2022-09-05
1834,2019,11,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,บ้าน,Detached House,52,32924,2022-09-05
2208,2021,5,BANGKOK,กรุงเทพมหานคร,สวนหลวง,SUAN LUANG,ทาวน์โฮม,Townhome,12,43627,2022-09-05
2075,2021,5,NONTHABURI,นนทบุรี,บางกรวย,BANG KRUAI,บ้าน,Detached House,12,28645,2022-09-05
1286,2020,1,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,คอนโด,Condo,1246,97589,2022-09-05
1855,2021,10,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,ทาวน์โฮม,Townhome,30,31890,2022-09-05
887,2019,1,BANGKOK,กรุงเทพมหานคร,ภาษีเจริญ,PHASI CHAROEN,คอนโด,Condo,28,64161,2022-09-05
1611,2021,3,BANGKOK,กรุงเทพมหานคร,พระนคร,PHRA NAKHON,คอนโด,Condo,75,99198,2022-09-05
762,2021,2,BANGKOK,กรุงเทพมหานคร,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,76,53400,2022-09-05
862,2021,7,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,คอนโด,Condo,501,62651,2022-09-05
263,2020,7,BANGKOK,กรุงเทพมหานคร,ยานนาวา,YAN NAWA,คอนโด,Condo,54,74449,2022-09-05
2160,2021,12,NONTHABURI,นนทบุรี,บางบัวทอง,BANG BUA THONG,ทาวน์โฮม,Townhome,24,29204,2022-09-05
1056,2022,1,BANGKOK,กรุงเทพมหานคร,บางเขน,BANG KHEN,คอนโด,Condo,164,79355,2022-09-05
1291,2021,8,BANGKOK,กรุงเทพมหานคร,บางซื่อ,BANG SUE,คอนโด,Condo,539,104185,2022-09-05
1779,2021,4,BANGKOK,กรุงเทพมหานคร,พระนคร,PHRA NAKHON,ทาวน์โฮม,Townhome,56,25621,2022-09-05
1623,2020,5,BANGKOK,กรุงเทพมหานคร,สวนหลวง,PHATTHANAKAN,คอนโด,Condo,14,62453,2022-09-05
1433,2020,12,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,850,110285,2022-09-05
901,2020,10,PATHUM THANI,ปทุมธานี,ลำลูกกา,LAM LUK KA,คอนโด,Condo,12,23539,2022-09-05
1480,2021,7,BANGKOK,กรุงเทพมหานคร,บางกอกใหญ่,BANGKOK YAI,คอนโด,Condo,70,71378,2022-09-05
1132,2020,8,BANGKOK,กรุงเทพมหานคร,ลาดพร้าว,LAT PHRAO,คอนโด,Condo,37,64178,2022-09-05
476,2019,9,BANGKOK,กรุงเทพมหานคร,ปทุมวัน,PATHUM WAN,คอนโด,Condo,112,174758,2022-09-05
2187,2020,2,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,ทาวน์โฮม,Townhome,41,31051,2022-09-05
581,2021,10,BANGKOK,กรุงเทพมหานคร,ทุ่งครุ,THUNG KHRU,คอนโด,Condo,24,61534,2022-09-05
1596,2020,8,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,315,151156,2022-09-05
2110,2021,9,SAMUT PRAKAN,สมุทรปราการ,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,บ้าน,Detached House,24,31548,2022-09-05
274,2020,9,BANGKOK,กรุงเทพมหานคร,บึงกุ่ม,BUENG KUM,คอนโด,Condo,21,54852,2022-09-05
567,2020,9,PATHUM THANI,ปทุมธานี,ธัญบุรี,THANYABURI,คอนโด,Condo,11,49433,2022-09-05
894,2021,3,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,คอนโด,Condo,404,65116,2022-09-05
478,2019,12,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,122,78866,2022-09-05
685,2020,6,BANGKOK,กรุงเทพมหานคร,วัฒนา,VADHANA,คอนโด,Condo,156,162479,2022-09-05
393,2020,10,BANGKOK,กรุงเทพมหานคร,พระโขนง,PHRA KHANONG,คอนโด,Condo,160,98600,2022-09-05
390,2021,9,BANGKOK,กรุงเทพมหานคร,ธนบุรี,THON BURI,คอนโด,Condo,586,97732,2022-09-05
1360,2020,8,BANGKOK,กรุงเทพมหานคร,ดอนเมือง,DON MUEANG,คอนโด,Condo,20,56140,2022-09-05
944,2019,10,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,คอนโด,Condo,66,59492,2022-09-05
627,2021,1,NONTHABURI,นนทบุรี,บางใหญ่,BANG YAI,คอนโด,Condo,15,69928,2022-09-05
272,2020,5,BANGKOK,กรุงเทพมหานคร,บางกอกน้อย,BANGKOK NOI,คอนโด,Condo,13,85075,2022-09-05
851,2021,10,BANGKOK,กรุงเทพมหานคร,บางกอกน้อย,BANGKOK NOI,คอนโด,Condo,70,105376,2022-09-05
395,2020,1,BANGKOK,กรุงเทพมหานคร,สาทร,SATHON,คอนโด,Condo,45,135034,2022-09-05
539,2020,1,BANGKOK,กรุงเทพมหานคร,บางเขน,BANG KHEN,คอนโด,Condo,35,79356,2022-09-05
294,2021,1,BANGKOK,กรุงเทพมหานคร,ราชเทวี,RATCHATHEWI,คอนโด,Condo,1119,161262,2022-09-05
58,2019,2,BANGKOK,กรุงเทพมหานคร,บางกะปิ,BANG KAPI,คอนโด,Condo,42,76007,2022-09-05
1356,2019,9,BANGKOK,กรุงเทพมหานคร,ทุ่งครุ,THUNG KHRU,คอนโด,Condo,21,29527,2022-09-05
487,2020,3,BANGKOK,กรุงเทพมหานคร,วัฒนา,VADHANA,คอนโด,Condo,493,160878,2022-09-05
1259,2021,11,BANGKOK,กรุงเทพมหานคร,บางกอกน้อย,BANGKOK NOI,คอนโด,Condo,186,95900,2022-09-05
1320,2021,10,BANGKOK,กรุงเทพมหานคร,บึงกุ่ม,BUENG KUM,คอนโด,Condo,70,63460,2022-09-05
2158,2021,3,SAMUT PRAKAN,สมุทรปราการ,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,บ้าน,Detached House,15,28839,2022-09-05
1985,2020,11,BANGKOK,กรุงเทพมหานคร,บึงกุ่ม,BUENG KUM,ทาวน์โฮม,Townhome,11,29695,2022-09-05
187,2019,9,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,คอนโด,Condo,54,59397,2022-09-05
1367,2021,12,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,คอนโด,Condo,1206,188274,2022-09-05
2053,2021,6,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,36,39192,2022-09-05
681,2022,1,BANGKOK,กรุงเทพมหานคร,บางกอกน้อย,BANGKOK NOI,คอนโด,Condo,70,93863,2022-09-05
1851,2022,1,NONTHABURI,นนทบุรี,บางกรวย,BANG KRUAI,บ้าน,Detached House,17,29773,2022-09-05
233,2019,9,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,คอนโด,Condo,896,102161,2022-09-05
225,2020,12,BANGKOK,กรุงเทพมหานคร,บางแค,BANG KHAE,คอนโด,Condo,66,60863,2022-09-05
1404,2021,7,PATHUM THANI,ปทุมธานี,ธัญบุรี,THANYABURI,คอนโด,Condo,17,46424,2022-09-05
148,2021,8,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,2279,124764,2022-09-05
224,2021,2,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,คอนโด,Condo,195,57060,2022-09-05
748,2021,9,BANGKOK,กรุงเทพมหานคร,ดินแดง,DIN DAENG,คอนโด,Condo,786,108828,2022-09-05
38,2020,2,BANGKOK,กรุงเทพมหานคร,สาทร,SATHON,คอนโด,Condo,33,122059,2022-09-05
1012,2021,10,BANGKOK,กรุงเทพมหานคร,จอมทอง,CHOM THONG,คอนโด,Condo,178,86550,2022-09-05
1364,2022,1,BANGKOK,กรุงเทพมหานคร,บางซื่อ,BANG SUE,คอนโด,Condo,502,96751,2022-09-05
811,2020,11,BANGKOK,กรุงเทพมหานคร,สวนหลวง,PHATTHANAKAN,คอนโด,Condo,46,86126,2022-09-05
12,2021,11,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,คอนโด,Condo,571,69030,2022-09-05
107,2021,7,BANGKOK,กรุงเทพมหานคร,บางขุนเทียน,BANG KHUN THIAN,คอนโด,Condo,34,57110,2022-09-05
1965,2021,4,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,บ้าน,Detached House,15,26306,2022-09-05
994,2021,6,BANGKOK,กรุงเทพมหานคร,ราชเทวี,RATCHATHEWI,คอนโด,Condo,1537,162541,2022-09-05
1825,2021,12,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,ทาวน์โฮม,Townhome,34,29542,2022-09-05
1553,2019,2,BANGKOK,กรุงเทพมหานคร,บางแค,BANG KHAE,คอนโด,Condo,18,100622,2022-09-05
1743,2021,10,BANGKOK,กรุงเทพมหานคร,บางเขน,BANG KHEN,ทาวน์โฮม,Townhome,19,31746,2022-09-05
1379,2020,9,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,คอนโด,Condo,46,66644,2022-09-05
1820,2021,1,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,ทาวน์โฮม,Townhome,35,28744,2022-09-05
690,2021,11,NAKHON PATHOM,นครปฐม,พุทธมณฑล,PHUTTHAMONTHON,คอนโด,Condo,43,55344,2022-09-05
1616,2020,6,BANGKOK,กรุงเทพมหานคร,สาทร,SATHON,คอนโด,Condo,28,110347,2022-09-05
1025,2021,1,BANGKOK,กรุงเทพมหานคร,บางแค,BANG KHAE,คอนโด,Condo,78,62860,2022-09-05
2013,2019,11,NONTHABURI,นนทบุรี,บางกรวย,BANG KRUAI,ทาวน์โฮม,Townhome,49,28721,2022-09-05
357,2019,6,BANGKOK,กรุงเทพมหานคร,ราชเทวี,RATCHATHEWI,คอนโด,Condo,474,198296,2022-09-05
